Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.7538		1.1597		0.0000		0.3702		0.00050000
2		0.9498		1.2175		0.0000		0.3269		0.00049700
3		0.7262		0.9669		0.0000		0.3903		0.00049400
4		0.6758		0.8834		0.0000		0.4151		0.00049099
5		0.6636		0.7764		0.0000		0.4301		0.00048798
6		0.5679		0.7976		0.0000		0.4236		0.00048497
7		0.6350		0.7263		0.0000		0.4414		0.00048196
8		0.4958		0.6859		0.0000		0.4928		0.00047895
9		0.4923		0.7025		0.0000		0.4386		0.00047593
10		0.4928		0.6561		0.0000		0.4893		0.00047292
11		0.4361		0.6660		0.0000		0.4426		0.00046990
12		0.5277		0.7267		0.0000		0.4672		0.00046688
13		0.4183		0.7177		0.0000		0.4465		0.00046385
14		0.5583		0.6673		0.0000		0.4610		0.00046083
15		0.4157		0.6819		0.0000		0.4708		0.00045780
16		0.4891		0.7127		0.0000		0.4384		0.00045477
17		0.4215		1.4244		0.0000		0.3642		0.00045173
18		0.5078		0.6955		0.0000		0.4587		0.00044870
19		0.4006		0.7156		0.0000		0.4558		0.00044566
20		0.3953		0.6194		0.0000		0.4861		0.00044262
21		0.3680		0.6680		0.0000		0.4914		0.00043958
22		0.4957		0.8149		0.0000		0.4219		0.00043653
23		0.3915		0.6521		0.0000		0.4785		0.00043349
24		0.3384		0.6747		0.0000		0.5138		0.00043044
25		0.4379		0.8785		0.0000		0.4192		0.00042739
26		0.3861		0.6200		0.0000		0.4748		0.00042433
27		0.3498		0.6450		0.0000		0.5166		0.00042128
28		0.4112		1.0472		0.0000		0.3548		0.00041822
29		0.4287		0.6585		0.0000		0.4852		0.00041516
30		0.3587		0.6520		0.0000		0.4886		0.00041209
31		0.3411		0.6213		0.0000		0.5209		0.00040903
32		0.3525		0.6163		0.0000		0.5087		0.00040596
33		0.3292		0.6387		0.0000		0.4899		0.00040289
34		0.3204		0.6555		0.0000		0.5070		0.00039981
35		0.3366		0.8354		0.0000		0.4121		0.00039673
36		0.4529		0.7890		0.0000		0.4570		0.00039366
37		0.3827		0.6422		0.0000		0.5132		0.00039057
38		0.3301		0.6352		0.0000		0.5145		0.00038749
39		0.3104		0.6766		0.0000		0.5183		0.00038440
40		0.2949		0.6312		0.0000		0.5331		0.00038131
41		0.4033		0.6447		0.0000		0.4900		0.00037822
42		0.3209		0.7366		0.0000		0.4644		0.00037512
43		0.4283		0.6556		0.0000		0.4781		0.00037202
44		0.3133		0.6348		0.0000		0.4860		0.00036892
45		0.3020		0.6124		0.0000		0.5188		0.00036582
46		0.3019		0.7104		0.0000		0.4520		0.00036271
47		0.2952		0.6228		0.0000		0.5053		0.00035960
48		0.2815		0.6783		0.0000		0.5141		0.00035649
49		0.3638		1.2025		0.0000		0.3811		0.00035337
50		0.4164		0.6549		0.0000		0.4810		0.00035025
51		0.2905		0.6328		0.0000		0.5116		0.00034713
52		0.2807		0.6335		0.0000		0.5113		0.00034400
53		0.3430		0.6619		0.0000		0.4668		0.00034087
54		0.3210		0.5805		0.0000		0.5269		0.00033774
55		0.3003		0.6271		0.0000		0.5303		0.00033460
56		0.3898		0.6836		0.0000		0.4763		0.00033147
57		0.3111		0.6063		0.0000		0.4993		0.00032832
58		0.2719		0.6619		0.0000		0.5211		0.00032518
59		0.2639		0.6550		0.0000		0.5162		0.00032203
60		0.2583		0.6636		0.0000		0.5397		0.00031888
61		0.2831		0.6206		0.0000		0.5278		0.00031572
62		0.3984		0.6316		0.0000		0.4949		0.00031256
63		0.3729		0.6666		0.0000		0.4964		0.00030940
64		0.2725		0.6462		0.0000		0.5161		0.00030624
65		0.2535		0.7149		0.0000		0.5241		0.00030307
66		0.2620		0.6563		0.0000		0.5372		0.00029989
67		0.2507		0.6654		0.0000		0.5347		0.00029671
68		0.3210		0.6381		0.0000		0.5237		0.00029353
69		0.2587		0.6246		0.0000		0.5304		0.00029035
70		0.2544		0.6450		0.0000		0.5410		0.00028716
71		0.2609		0.6395		0.0000		0.5339		0.00028397
72		0.2505		0.6423		0.0000		0.5469		0.00028077
73		0.3251		0.6561		0.0000		0.4682		0.00027757
74		0.2775		0.7282		0.0000		0.4938		0.00027437
75		0.2565		0.6159		0.0000		0.5413		0.00027116
76		0.3516		0.6334		0.0000		0.5001		0.00026794
77		0.2619		0.6019		0.0000		0.5487		0.00026473
78		0.2413		0.6763		0.0000		0.5334		0.00026150
79		0.2357		0.6435		0.0000		0.5642		0.00025828
80		0.2769		0.6623		0.0000		0.5182		0.00025505
81		0.2733		0.7120		0.0000		0.4884		0.00025181
82		0.2456		0.6280		0.0000		0.5398		0.00024857
83		0.2280		0.6687		0.0000		0.5532		0.00024533
84		0.2331		0.6493		0.0000		0.5434		0.00024208
85		0.2325		0.6812		0.0000		0.5469		0.00023882
86		0.2941		0.6802		0.0000		0.4768		0.00023556
87		0.3158		0.6201		0.0000		0.5436		0.00023230
88		0.2516		0.6139		0.0000		0.5604		0.00022903
89		0.2302		0.6712		0.0000		0.5523		0.00022576
90		0.2238		0.6774		0.0000		0.5443		0.00022248
91		0.2173		0.6828		0.0000		0.5611		0.00021919
92		0.2615		0.6243		0.0000		0.5276		0.00021590
93		0.2408		0.6373		0.0000		0.5300		0.00021260
94		0.2290		0.7386		0.0000		0.5592		0.00020930
95		0.2154		0.7001		0.0000		0.5171		0.00020600
96		0.2711		0.6168		0.0000		0.5406		0.00020268
97		0.2309		0.6173		0.0000		0.5538		0.00019936
98		0.2107		0.6588		0.0000		0.5662		0.00019604
99		0.2121		0.6209		0.0000		0.5490		0.00019270
100		0.2367		0.5835		0.0000		0.5386		0.00018937
101		0.2273		0.5915		0.0000		0.5543		0.00018602
102		0.2168		0.6406		0.0000		0.5665		0.00018267
103		0.2045		0.6957		0.0000		0.5841		0.00017931
104		0.2098		0.6188		0.0000		0.5784		0.00017594
105		0.2017		0.6607		0.0000		0.5432		0.00017257
106		0.2078		0.6613		0.0000		0.5707		0.00016919
107		0.2039		0.6909		0.0000		0.5713		0.00016580
108		0.2111		0.6731		0.0000		0.5722		0.00016241
109		0.2013		0.6685		0.0000		0.5604		0.00015901
110		0.1988		0.7030		0.0000		0.5651		0.00015559
111		0.2474		0.6838		0.0000		0.5469		0.00015217
112		0.2049		0.7090		0.0000		0.5437		0.00014875
113		0.2374		0.6621		0.0000		0.5602		0.00014531
114		0.2061		0.6558		0.0000		0.5743		0.00014186
115		0.1930		0.6703		0.0000		0.5660		0.00013841
116		0.1907		0.7197		0.0000		0.5669		0.00013494
117		0.1886		0.7264		0.0000		0.5754		0.00013147
118		0.1888		0.7081		0.0000		0.5578		0.00012798
119		0.1869		0.7143		0.0000		0.5778		0.00012449
120		0.1867		0.7527		0.0000		0.5795		0.00012098
121		0.1855		0.7394		0.0000		0.5618		0.00011746
122		0.1852		0.6903		0.0000		0.5689		0.00011393
123		0.1868		0.7085		0.0000		0.5683		0.00011039
124		0.1839		0.7411		0.0000		0.5523		0.00010684
125		0.1812		0.6842		0.0000		0.5735		0.00010327
126		0.1784		0.7126		0.0000		0.5817		0.00009969
127		0.1757		0.7221		0.0000		0.5840		0.00009609
128		0.1788		0.7336		0.0000		0.5874		0.00009248
129		0.1771		0.7156		0.0000		0.5746		0.00008885
130		0.1738		0.7772		0.0000		0.5932		0.00008521
131		0.1717		0.7031		0.0000		0.5893		0.00008155
132		0.1700		0.7099		0.0000		0.5929		0.00007787
133		0.1703		0.6948		0.0000		0.5767		0.00007417
134		0.1714		0.7294		0.0000		0.5968		0.00007045
135		0.1696		0.7045		0.0000		0.5917		0.00006671
136		0.1688		0.6977		0.0000		0.5992		0.00006295
137		0.1657		0.7273		0.0000		0.5904		0.00005916
138		0.1658		0.7513		0.0000		0.5891		0.00005534
139		0.1643		0.8266		0.0000		0.5821		0.00005149
140		0.1619		0.7951		0.0000		0.5827		0.00004761
141		0.1610		0.7708		0.0000		0.5961		0.00004370
142		0.1608		0.7520		0.0000		0.5972		0.00003975
143		0.1595		0.7492		0.0000		0.5974		0.00003575
144		0.1577		0.7736		0.0000		0.5974		0.00003170
145		0.1572		0.7445		0.0000		0.5973		0.00002759
146		0.1559		0.7585		0.0000		0.5923		0.00002342
147		0.1550		0.7504		0.0000		0.6009		0.00001916
148		0.1544		0.7428		0.0000		0.6051		0.00001479
149		0.1534		0.7515		0.0000		0.6001		0.00001027
150		0.1529		0.7722		0.0000		0.6014		0.00000550
