Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.2393		0.6006		0.0000		0.5431		0.00014186
115		0.2432		0.6248		0.0000		0.5511		0.00013841
116		0.2377		0.6410		0.0000		0.5484		0.00013494
117		0.2364		0.6414		0.0000		0.5407		0.00013147
118		0.2432		0.6756		0.0000		0.5420		0.00012798
119		0.2367		0.6222		0.0000		0.5156		0.00012449
120		0.2354		0.6649		0.0000		0.5390		0.00012098
121		0.2289		0.6640		0.0000		0.5487		0.00011746
122		0.2628		0.6168		0.0000		0.4925		0.00011393
123		0.2536		0.5714		0.0000		0.5446		0.00011039
124		0.2281		0.6376		0.0000		0.5517		0.00010684
125		0.2207		0.6541		0.0000		0.5426		0.00010327
126		0.2193		0.6634		0.0000		0.5703		0.00009969
127		0.2165		0.6545		0.0000		0.5536		0.00009609
128		0.2161		0.6586		0.0000		0.5628		0.00009248
129		0.2191		0.7198		0.0000		0.5329		0.00008885
130		0.2239		0.6638		0.0000		0.5483		0.00008521
131		0.2167		0.6699		0.0000		0.5611		0.00008155
132		0.2102		0.7014		0.0000		0.5513		0.00007787
133		0.2115		0.6586		0.0000		0.5607		0.00007417
134		0.2081		0.6509		0.0000		0.5598		0.00007045
135		0.2072		0.6617		0.0000		0.5653		0.00006671
136		0.2045		0.6683		0.0000		0.5609		0.00006295
137		0.2042		0.6787		0.0000		0.5630		0.00005916
138		0.2022		0.6816		0.0000		0.5671		0.00005534
139		0.2007		0.6221		0.0000		0.5671		0.00005149
140		0.1994		0.6563		0.0000		0.5651		0.00004761
141		0.1991		0.6731		0.0000		0.5562		0.00004370
142		0.1985		0.6681		0.0000		0.5707		0.00003975
143		0.1954		0.6725		0.0000		0.5778		0.00003575
144		0.1945		0.6629		0.0000		0.5723		0.00003170
145		0.1933		0.6769		0.0000		0.5771		0.00002759
146		0.1915		0.6673		0.0000		0.5691		0.00002342
147		0.1919		0.6662		0.0000		0.5753		0.00001916
148		0.1889		0.6655		0.0000		0.5792		0.00001479
149		0.1888		0.6571		0.0000		0.5775		0.00001027
150		0.1891		0.6756		0.0000		0.5770		0.00000550
