Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		2.6814		2.6957		0.0000		0.4779		0.00032675
115		2.6794		2.6918		0.0000		0.4820		0.00032518
116		2.6876		2.6976		0.0000		0.5073		0.00032361
117		2.6791		2.6922		0.0000		0.4748		0.00032203
118		2.6829		2.7140		0.0000		0.4315		0.00032045
119		2.6817		2.6920		0.0000		0.5002		0.00031888
120		2.6790		2.6945		0.0000		0.4856		0.00031730
121		2.6784		2.6898		0.0000		0.5068		0.00031572
122		2.6813		2.6963		0.0000		0.5087		0.00031414
123		2.6803		2.6939		0.0000		0.4990		0.00031256
124		2.6815		2.6995		0.0000		0.4831		0.00031098
125		2.6817		2.7160		0.0000		0.4376		0.00030940
126		2.6814		2.6922		0.0000		0.4971		0.00030782
127		2.6810		2.6973		0.0000		0.4782		0.00030624
128		2.6797		2.7004		0.0000		0.4741		0.00030465
129		2.6810		2.6942		0.0000		0.5145		0.00030307
130		2.6774		2.6945		0.0000		0.5255		0.00030148
131		2.6781		2.7064		0.0000		0.4818		0.00029989
132		2.6765		2.6958		0.0000		0.4643		0.00029830
133		2.6824		2.6971		0.0000		0.4951		0.00029671
134		2.6791		2.6937		0.0000		0.5318		0.00029512
135		2.6826		2.6932		0.0000		0.5100		0.00029353
136		2.6765		2.6924		0.0000		0.5119		0.00029194
137		2.6775		2.6984		0.0000		0.4979		0.00029035
138		2.6779		2.6977		0.0000		0.4844		0.00028876
139		2.6754		2.6922		0.0000		0.5174		0.00028716
140		2.6777		2.6923		0.0000		0.5022		0.00028556
141		2.6767		2.6961		0.0000		0.4881		0.00028397
142		2.6768		2.6955		0.0000		0.5085		0.00028237
143		2.6817		2.6951		0.0000		0.4959		0.00028077
144		2.6757		2.6919		0.0000		0.5085		0.00027917
145		2.6756		2.6913		0.0000		0.5103		0.00027757
146		2.6768		2.6903		0.0000		0.5268		0.00027597
147		2.6755		2.6929		0.0000		0.5011		0.00027437
148		2.6767		2.6927		0.0000		0.5049		0.00027276
149		2.6741		2.7044		0.0000		0.4581		0.00027116
150		2.6761		2.6973		0.0000		0.4770		0.00026955
151		2.6768		2.6952		0.0000		0.5198		0.00026794
152		2.6727		2.6908		0.0000		0.5236		0.00026634
153		2.6768		2.6902		0.0000		0.5129		0.00026473
154		2.6755		2.6875		0.0000		0.5145		0.00026312
155		2.6718		2.6892		0.0000		0.5097		0.00026150
156		2.6766		2.6942		0.0000		0.5095		0.00025989
157		2.6728		2.6880		0.0000		0.5066		0.00025828
158		2.6708		2.6893		0.0000		0.5107		0.00025666
159		2.6716		2.6895		0.0000		0.4892		0.00025505
160		2.6749		2.7053		0.0000		0.4763		0.00025343
161		2.6770		2.6863		0.0000		0.5048		0.00025181
162		2.6755		2.6942		0.0000		0.5025		0.00025019
163		2.6827		2.6956		0.0000		0.5289		0.00024857
164		2.6724		2.6893		0.0000		0.5192		0.00024695
165		2.6723		2.6867		0.0000		0.5109		0.00024533
166		2.6753		2.6877		0.0000		0.5291		0.00024370
167		2.6693		2.6913		0.0000		0.5185		0.00024208
168		2.6703		2.6888		0.0000		0.5348		0.00024045
169		2.6773		2.6919		0.0000		0.5066		0.00023882
170		2.6732		2.6902		0.0000		0.5231		0.00023719
171		2.6689		2.6885		0.0000		0.5246		0.00023556
172		2.6718		2.7036		0.0000		0.4789		0.00023393
173		2.6714		2.6891		0.0000		0.5279		0.00023230
174		2.6718		2.6960		0.0000		0.4832		0.00023067
175		2.6735		2.6907		0.0000		0.5473		0.00022903
176		2.6690		2.6913		0.0000		0.5092		0.00022739
177		2.6710		2.6934		0.0000		0.5183		0.00022576
178		2.6722		2.6922		0.0000		0.5300		0.00022412
179		2.6713		2.6877		0.0000		0.5238		0.00022248
180		2.6702		2.6893		0.0000		0.5178		0.00022083
181		2.6698		2.6899		0.0000		0.5257		0.00021919
1		2.8704		2.8740		0.0000		0.1469		0.00050000
2		2.8206		2.8297		0.0000		0.2002		0.00049775
3		2.8008		2.8029		0.0000		0.2614		0.00049550
4		2.7874		2.7922		0.0000		0.2444		0.00049324
5		2.7774		2.7808		0.0000		0.3008		0.00049099
6		2.7705		2.7849		0.0000		0.2948		0.00048874
7		2.7639		2.7876		0.0000		0.2795		0.00048648
8		2.7579		2.7751		0.0000		0.2848		0.00048422
9		2.7534		2.7595		0.0000		0.3440		0.00048196
10		2.7514		2.7821		0.0000		0.2834		0.00047970
11		2.7461		2.7425		0.0000		0.3533		0.00047744
12		2.7415		2.7463		0.0000		0.3429		0.00047518
13		2.7390		2.7631		0.0000		0.2913		0.00047292
14		2.7382		2.7471		0.0000		0.3577		0.00047065
15		2.7343		2.7380		0.0000		0.3388		0.00046839
16		2.7294		2.7307		0.0000		0.3649		0.00046612
17		2.7281		2.7309		0.0000		0.4041		0.00046385
18		2.7281		2.7281		0.0000		0.3989		0.00046158
19		2.7225		2.7331		0.0000		0.3919		0.00045931
20		2.7222		2.7276		0.0000		0.3763		0.00045704
21		2.7188		2.7314		0.0000		0.3911		0.00045477
22		2.7186		2.7278		0.0000		0.3712		0.00045249
23		2.7204		2.7335		0.0000		0.3515		0.00045022
24		2.7186		2.7236		0.0000		0.3999		0.00044794
25		2.7152		2.7209		0.0000		0.4094		0.00044566
26		2.7150		2.7322		0.0000		0.3815		0.00044338
27		2.7112		2.7221		0.0000		0.3947		0.00044110
28		2.7102		2.7234		0.0000		0.3932		0.00043882
29		2.7088		2.7303		0.0000		0.4038		0.00043653
30		2.7120		2.7125		0.0000		0.4044		0.00043425
31		2.7095		2.7167		0.0000		0.4010		0.00043196
32		2.7069		2.7136		0.0000		0.4341		0.00042968
33		2.7056		2.7112		0.0000		0.4345		0.00042739
34		2.7087		2.7166		0.0000		0.4069		0.00042510
35		2.7061		2.7105		0.0000		0.4207		0.00042281
36		2.7029		2.7095		0.0000		0.3994		0.00042051
37		2.7031		2.7179		0.0000		0.4097		0.00041822
38		2.7031		2.7091		0.0000		0.4237		0.00041592
39		2.7024		2.7106		0.0000		0.4343		0.00041362
40		2.7006		2.7131		0.0000		0.4499		0.00041133
41		2.7064		2.7117		0.0000		0.4276		0.00040903
42		2.7024		2.7083		0.0000		0.4473		0.00040672
43		2.6992		2.7024		0.0000		0.4683		0.00040442
