Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.2345		2.1913		0.0000		0.1573		0.00050000
2		1.7243		1.7571		0.0000		0.2472		0.00049099
3		1.4832		1.4606		0.0000		0.2477		0.00048196
4		1.3563		1.3592		0.0000		0.2781		0.00047292
5		1.2533		1.3414		0.0000		0.2720		0.00046385
6		1.1850		1.2826		0.0000		0.3000		0.00045477
7		1.1253		1.2465		0.0000		0.2879		0.00044566
8		1.0527		1.1184		0.0000		0.2994		0.00043653
9		0.9712		1.0424		0.0000		0.3209		0.00042739
10		0.9661		1.2955		0.0000		0.2735		0.00041822
11		0.9268		1.1440		0.0000		0.3210		0.00040903
12		0.8821		0.9457		0.0000		0.3657		0.00039981
13		0.8427		0.9848		0.0000		0.3505		0.00039057
14		0.8082		0.9888		0.0000		0.3521		0.00038131
15		0.8245		0.9404		0.0000		0.3420		0.00037202
16		0.7763		0.9122		0.0000		0.3672		0.00036271
17		0.7207		0.9241		0.0000		0.3730		0.00035337
18		0.7418		1.1631		0.0000		0.3381		0.00034400
19		0.7253		0.9161		0.0000		0.3685		0.00033460
20		0.6939		0.8208		0.0000		0.3747		0.00032518
21		0.6573		0.8701		0.0000		0.3786		0.00031572
22		0.6530		0.8478		0.0000		0.3879		0.00030624
23		0.6289		0.8076		0.0000		0.4008		0.00029671
24		0.6028		0.8386		0.0000		0.3980		0.00028716
25		0.6035		0.7464		0.0000		0.3952		0.00027757
26		0.5602		0.7643		0.0000		0.4115		0.00026794
27		0.5880		0.7905		0.0000		0.3920		0.00025828
28		0.5451		0.7081		0.0000		0.4241		0.00024857
29		0.5180		0.7193		0.0000		0.4265		0.00023882
30		0.5194		0.8064		0.0000		0.3991		0.00022903
31		0.5336		0.7770		0.0000		0.3967		0.00021919
32		0.5078		0.7134		0.0000		0.4166		0.00020930
33		0.4988		0.7053		0.0000		0.4317		0.00019936
34		0.4688		0.6600		0.0000		0.4218		0.00018937
35		0.4637		0.6800		0.0000		0.4536		0.00017931
36		0.4475		0.6730		0.0000		0.4636		0.00016919
37		0.4656		0.8915		0.0000		0.4082		0.00015901
38		0.5053		0.6568		0.0000		0.4433		0.00014875
39		0.4332		0.6706		0.0000		0.4503		0.00013841
40		0.4175		0.6769		0.0000		0.4443		0.00012798
41		0.4214		0.6336		0.0000		0.4450		0.00011746
42		0.4090		0.6528		0.0000		0.4492		0.00010684
43		0.3957		0.6348		0.0000		0.4582		0.00009609
44		0.3866		0.6565		0.0000		0.4608		0.00008521
45		0.3868		0.6533		0.0000		0.4457		0.00007417
46		0.3816		0.6387		0.0000		0.4725		0.00006295
47		0.3707		0.6277		0.0000		0.4756		0.00005149
48		0.3682		0.6247		0.0000		0.4777		0.00003975
49		0.3619		0.6210		0.0000		0.4774		0.00002759
50		0.3581		0.6174		0.0000		0.4819		0.00001479
