Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.2443		0.6746		0.0000		0.5262		0.00014186
115		0.2419		0.6856		0.0000		0.5386		0.00013841
116		0.2394		0.7000		0.0000		0.5247		0.00013494
117		0.2395		0.6878		0.0000		0.5374		0.00013147
118		0.2351		0.7246		0.0000		0.5402		0.00012798
119		0.2470		0.7449		0.0000		0.5122		0.00012449
120		0.2457		0.8458		0.0000		0.5063		0.00012098
121		0.2411		0.6281		0.0000		0.5234		0.00011746
122		0.2305		0.7130		0.0000		0.5453		0.00011393
123		0.2249		0.7419		0.0000		0.5473		0.00011039
124		0.2322		0.6393		0.0000		0.5542		0.00010684
125		0.2239		0.6338		0.0000		0.5473		0.00010327
126		0.2257		0.7929		0.0000		0.5456		0.00009969
127		0.2188		0.7001		0.0000		0.5574		0.00009609
128		0.2187		0.6373		0.0000		0.5588		0.00009248
129		0.2236		0.6503		0.0000		0.5743		0.00008885
130		0.2159		0.6469		0.0000		0.5542		0.00008521
131		0.2128		0.6602		0.0000		0.5629		0.00008155
132		0.2100		0.6980		0.0000		0.5743		0.00007787
133		0.2103		0.7071		0.0000		0.5686		0.00007417
134		0.2106		0.6919		0.0000		0.5711		0.00007045
135		0.2171		0.6548		0.0000		0.5511		0.00006671
136		0.2111		0.6605		0.0000		0.5573		0.00006295
137		0.2029		0.6813		0.0000		0.5607		0.00005916
138		0.2034		0.7009		0.0000		0.5635		0.00005534
139		0.2009		0.7204		0.0000		0.5662		0.00005149
140		0.1993		0.6568		0.0000		0.5707		0.00004761
141		0.1986		0.7118		0.0000		0.5614		0.00004370
142		0.1970		0.7013		0.0000		0.5609		0.00003975
143		0.1963		0.7118		0.0000		0.5709		0.00003575
144		0.1943		0.7179		0.0000		0.5663		0.00003170
145		0.1954		0.7302		0.0000		0.5699		0.00002759
146		0.1921		0.7045		0.0000		0.5688		0.00002342
147		0.1932		0.7209		0.0000		0.5726		0.00001916
148		0.1913		0.6916		0.0000		0.5796		0.00001479
149		0.1895		0.7161		0.0000		0.5792		0.00001027
150		0.1883		0.7221		0.0000		0.5724		0.00000550
