Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
112		0.3584		0.7336		0.0000		0.4753		0.00032990
113		0.3840		0.7283		0.0000		0.4793		0.00032832
114		0.4362		0.7401		0.0000		0.4662		0.00032675
115		0.4012		0.7521		0.0000		0.4628		0.00032518
116		0.3742		0.7080		0.0000		0.4779		0.00032361
117		0.3593		0.7071		0.0000		0.4825		0.00032203
118		0.3438		0.7256		0.0000		0.4868		0.00032045
119		0.3438		0.7283		0.0000		0.4801		0.00031888
120		0.3459		0.7740		0.0000		0.4847		0.00031730
121		0.3538		0.7187		0.0000		0.4649		0.00031572
122		0.3436		0.7711		0.0000		0.4937		0.00031414
123		0.3496		0.7421		0.0000		0.4754		0.00031256
124		0.3432		0.7825		0.0000		0.4839		0.00031098
125		0.3817		0.7437		0.0000		0.4894		0.00030940
126		0.4361		0.7736		0.0000		0.4574		0.00030782
127		0.3680		0.7025		0.0000		0.4872		0.00030624
128		0.3396		0.7162		0.0000		0.4938		0.00030465
129		0.3262		0.6992		0.0000		0.4937		0.00030307
130		0.3393		0.7255		0.0000		0.4882		0.00030148
131		0.3587		0.7382		0.0000		0.4826		0.00029989
132		0.3323		0.7475		0.0000		0.5190		0.00029830
133		0.3547		0.7403		0.0000		0.4910		0.00029671
134		0.3330		0.7502		0.0000		0.4808		0.00029512
135		0.3288		0.7400		0.0000		0.4987		0.00029353
136		0.3211		0.7397		0.0000		0.5029		0.00029194
137		0.3330		0.7460		0.0000		0.5009		0.00029035
138		0.3322		0.7298		0.0000		0.4724		0.00028876
139		0.3331		0.7599		0.0000		0.4942		0.00028716
140		0.3280		0.7761		0.0000		0.4819		0.00028556
141		0.3271		0.7558		0.0000		0.5199		0.00028397
142		0.3737		0.8023		0.0000		0.4751		0.00028237
143		0.3477		0.7111		0.0000		0.4857		0.00028077
144		0.3171		0.7406		0.0000		0.5088		0.00027917
145		0.3210		0.7416		0.0000		0.4954		0.00027757
146		0.3368		0.7449		0.0000		0.4986		0.00027597
147		0.3261		0.7432		0.0000		0.5114		0.00027437
148		0.3174		0.7463		0.0000		0.5099		0.00027276
149		0.3130		0.7990		0.0000		0.5133		0.00027116
150		0.3215		0.7552		0.0000		0.4704		0.00026955
151		0.3240		0.7270		0.0000		0.5009		0.00026794
152		0.3198		0.7704		0.0000		0.5075		0.00026634
153		0.3158		0.7970		0.0000		0.5001		0.00026473
154		0.3245		0.7511		0.0000		0.5012		0.00026312
155		0.3097		0.8511		0.0000		0.4948		0.00026150
156		0.3870		0.7543		0.0000		0.4664		0.00025989
157		0.3300		0.7470		0.0000		0.4896		0.00025828
158		0.3034		0.7381		0.0000		0.5102		0.00025666
159		0.2985		0.7866		0.0000		0.4962		0.00025505
160		0.3047		0.7674		0.0000		0.4930		0.00025343
161		0.2986		0.7693		0.0000		0.4999		0.00025181
162		0.3072		0.8011		0.0000		0.4801		0.00025019
163		0.3073		0.8850		0.0000		0.4841		0.00024857
164		0.3126		0.7927		0.0000		0.4865		0.00024695
165		0.3075		0.7257		0.0000		0.4989		0.00024533
166		0.3296		0.9017		0.0000		0.4114		0.00024370
167		0.3243		0.7363		0.0000		0.4946		0.00024208
168		0.2951		0.7303		0.0000		0.5075		0.00024045
169		0.2930		1.0634		0.0000		0.4784		0.00023882
170		0.3570		0.7780		0.0000		0.4851		0.00023719
171		0.3003		0.7857		0.0000		0.4889		0.00023556
172		0.2969		0.7702		0.0000		0.4939		0.00023393
173		0.2949		0.7585		0.0000		0.5017		0.00023230
174		0.2921		0.7995		0.0000		0.5161		0.00023067
175		0.2974		0.7682		0.0000		0.5073		0.00022903
176		0.2946		0.7777		0.0000		0.5072		0.00022739
177		0.2960		0.7426		0.0000		0.5028		0.00022576
178		0.2950		0.7894		0.0000		0.5138		0.00022412
179		0.2955		0.7703		0.0000		0.5125		0.00022248
180		0.2859		0.7807		0.0000		0.4981		0.00022083
181		0.2932		0.7640		0.0000		0.5270		0.00021919
182		0.2964		0.7455		0.0000		0.5229		0.00021755
183		0.2878		0.7953		0.0000		0.5147		0.00021590
184		0.3635		0.7550		0.0000		0.4856		0.00021425
185		0.2906		0.7387		0.0000		0.5113		0.00021260
186		0.2828		0.7403		0.0000		0.5158		0.00021095
187		0.2949		0.7268		0.0000		0.4930		0.00020930
188		0.2815		0.7771		0.0000		0.5123		0.00020765
189		0.2819		0.8365		0.0000		0.4880		0.00020600
190		0.2866		0.8184		0.0000		0.4965		0.00020434
191		0.2814		0.7899		0.0000		0.4909		0.00020268
192		0.2798		0.7859		0.0000		0.5100		0.00020102
193		0.2789		0.8430		0.0000		0.5078		0.00019936
